2026-04-11T11:25:11.409253076Z [inf]  Starting Container
2026-04-11T11:25:12.182352198Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:12.182365417Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:12.182374849Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:12.182386905Z [inf]   * Debug mode: off
2026-04-11T11:25:12.182392579Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:12.182398006Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:12.182405577Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:12.182407194Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:12.182413732Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:12.182414799Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:12.182417763Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:12.182424215Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:12.182433683Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:12.182440667Z [err]      __import__(pkg_name)
2026-04-11T11:25:12.182447121Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:12.182458349Z [err]  Traceback (most recent call last):
2026-04-11T11:25:13.361115655Z [inf]   * Debug mode: off
2026-04-11T11:25:13.361130629Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:13.361139079Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:13.361147740Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:13.361155445Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:13.361164208Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:14.398583491Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:14.398594897Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:14.398632785Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:14.398639544Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:14.398645698Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:14.398652251Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:14.398659005Z [err]      __import__(pkg_name)
2026-04-11T11:25:14.398665998Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:14.398693806Z [err]  Traceback (most recent call last):
2026-04-11T11:25:14.398700627Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:15.400294293Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:15.400304183Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:15.400310009Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:15.400372782Z [inf]   * Debug mode: off
2026-04-11T11:25:15.400393112Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:15.400401517Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:16.319232296Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:16.319241426Z [err]      __import__(pkg_name)
2026-04-11T11:25:16.319249134Z [err]  Traceback (most recent call last):
2026-04-11T11:25:16.319251198Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:16.319261227Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:16.319261610Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:16.319316859Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:16.319331357Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
